Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add_to_delete_user,Chrome 74.0.3729.169,,2019-06-07 13:54:15,2019-06-07 13:56:54,2m - 38.420s,ERROR
,,,,,,
Test Cases/Login_Accounts/login_superagent,Chrome 74.0.3729.169,,2019-06-07 13:54:16,2019-06-07 13:54:33,17.749s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-06-07 13:54:16,2019-06-07 13:54:21,5.355s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 74.0.3729.169,,2019-06-07 13:54:21,2019-06-07 13:54:25,3.642s,PASSED
"setText(findTestObject(""LogIn/username""), ""superagent@intermed"")",Chrome 74.0.3729.169,,2019-06-07 13:54:25,2019-06-07 13:54:25,0.209s,PASSED
"setEncryptedText(findTestObject(""LogIn/password""), ""SITHpLWAWtI8C4F8RIujvA=="")",Chrome 74.0.3729.169,,2019-06-07 13:54:25,2019-06-07 13:54:25,0.163s,PASSED
"click(findTestObject(""LogIn/login_button""))",Chrome 74.0.3729.169,,2019-06-07 13:54:25,2019-06-07 13:54:25,0.096s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-07 13:54:25,2019-06-07 13:54:30,5.017s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:30,2019-06-07 13:54:33,3.002s,PASSED
,,,,,,
Test Cases/Human_Resources/add_user,Chrome 74.0.3729.169,,2019-06-07 13:54:33,2019-06-07 13:56:16,1m - 42.928s,ERROR
"navigateToUrl(""https://qa.medisource.com/members/create"")",Chrome 74.0.3729.169,,2019-06-07 13:54:34,2019-06-07 13:54:34,0.718s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-07 13:54:34,2019-06-07 13:54:39,5.003s,PASSED
today = new java.util.Date(),Chrome 74.0.3729.169,,2019-06-07 13:54:39,2019-06-07 13:54:39,0.008s,PASSED
"randomnum = today.format(""HHmmss"")",Chrome 74.0.3729.169,,2019-06-07 13:54:39,2019-06-07 13:54:39,0.005s,PASSED
"setText(findTestObject(""addUser/Page_Medisource  Main/input_First Name_firstname""), ""User "" + randomnum)",Chrome 74.0.3729.169,,2019-06-07 13:54:39,2019-06-07 13:54:40,0.583s,PASSED
"setText(findTestObject(""addUser/Page_Medisource  Main/input_Last Name_lastname""), ""Automated"")",Chrome 74.0.3729.169,,2019-06-07 13:54:40,2019-06-07 13:54:40,0.434s,PASSED
"setText(findTestObject(""addUser/Page_Medisource  Main/input_Middle Initial_mi""), ""I"")",Chrome 74.0.3729.169,,2019-06-07 13:54:40,2019-06-07 13:54:41,0.147s,PASSED
"setText(findTestObject(""addUser/Page_Medisource  Main/input_Suffix_suffix""), ""Jr."")",Chrome 74.0.3729.169,,2019-06-07 13:54:41,2019-06-07 13:54:41,0.227s,PASSED
"click(findTestObject(""addUser/Page_Medisource  Main/input_Female_gender2""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:41,2019-06-07 13:54:41,0.107s,PASSED
"setText(findTestObject(""addUser/user_bdate""), ""02071997"")",Chrome 74.0.3729.169,,2019-06-07 13:54:41,2019-06-07 13:54:41,0.287s,PASSED
"click(findTestObject(""addUser/user_race_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:41,2019-06-07 13:54:41,0.104s,PASSED
"sendKeys(findTestObject(""addUser/user_race_tf""), Keys.chord(""American"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:54:41,2019-06-07 13:54:42,0.362s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:42,2019-06-07 13:54:45,3.002s,PASSED
"click(findTestObject(""addUser/user_marital_status_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:45,2019-06-07 13:54:45,0.091s,PASSED
"sendKeys(findTestObject(""addUser/user_marital_status_tf""), Keys.chord(""Single"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:54:45,2019-06-07 13:54:45,0.306s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:45,2019-06-07 13:54:48,3.002s,PASSED
"click(findTestObject(""addUser/user_discipline_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:48,2019-06-07 13:54:48,0.093s,PASSED
"sendKeys(findTestObject(""addUser/user_discipline_tf""), Keys.chord(""Skilled Nurse"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:54:48,2019-06-07 13:54:49,0.458s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:49,2019-06-07 13:54:52,3.001s,PASSED
"click(findTestObject(""addUser/user_title_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:52,2019-06-07 13:54:52,0.096s,PASSED
"sendKeys(findTestObject(""addUser/user_title_tf""), Keys.chord(""Registered Nurse"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:54:52,2019-06-07 13:54:52,0.537s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:52,2019-06-07 13:54:55,3.002s,PASSED
"click(findTestObject(""addUser/user_hirecategory_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:55,2019-06-07 13:54:55,0.086s,PASSED
"sendKeys(findTestObject(""addUser/user_hirecategory_tf""), Keys.chord(""Direct Hire"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:54:55,2019-06-07 13:54:56,0.401s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:56,2019-06-07 13:54:59,3.001s,PASSED
"click(findTestObject(""addUser/user_position_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:54:59,2019-06-07 13:54:59,0.109s,PASSED
"sendKeys(findTestObject(""addUser/user_position_tf""), Keys.chord(""Registered Nurse"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:54:59,2019-06-07 13:54:59,0.536s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:54:59,2019-06-07 13:55:02,3.002s,PASSED
"setText(findTestObject(""addUser/Page_Medisource  Main/input_Social Security Number_s""), ""231"" + randomnum)",Chrome 74.0.3729.169,,2019-06-07 13:55:02,2019-06-07 13:55:03,0.452s,PASSED
"setText(findTestObject(""addUser/employee_id""), ""09"")",Chrome 74.0.3729.169,,2019-06-07 13:55:03,2019-06-07 13:55:03,0.183s,PASSED
"setText(findTestObject(""addUser/user_company""), ""MEDISOURCE, LLC."")",Chrome 74.0.3729.169,,2019-06-07 13:55:03,2019-06-07 13:55:04,0.698s,PASSED
"setText(findTestObject(""addUser/address_1""), sample_address)",Chrome 74.0.3729.169,,2019-06-07 13:55:04,2019-06-07 13:55:04,0.695s,PASSED
"setText(findTestObject(""addUser/address_2""), sample_address)",Chrome 74.0.3729.169,,2019-06-07 13:55:04,2019-06-07 13:55:05,0.482s,PASSED
"setText(findTestObject(""addUser/city""), sample_city)",Chrome 74.0.3729.169,,2019-06-07 13:55:05,2019-06-07 13:55:05,0.404s,PASSED
"click(findTestObject(""addUser/state_dd""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:05,2019-06-07 13:55:05,0.103s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:05,2019-06-07 13:55:08,3.002s,PASSED
"sendKeys(findTestObject(""addUser/state_az""), Keys.chord(""HI"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:55:08,2019-06-07 13:55:09,0.168s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:09,2019-06-07 13:55:12,3.002s,PASSED
"setText(findTestObject(""addUser/zipcode""), sample_ZIP_code)",Chrome 74.0.3729.169,,2019-06-07 13:55:12,2019-06-07 13:55:12,0.320s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:12,2019-06-07 13:55:15,3.001s,PASSED
"setText(findTestObject(""addUser/phone_no""), sample_phone_num)",Chrome 74.0.3729.169,,2019-06-07 13:55:15,2019-06-07 13:55:15,0.433s,PASSED
"setText(findTestObject(""addUser/mobile_no""), sample_phone_num)",Chrome 74.0.3729.169,,2019-06-07 13:55:15,2019-06-07 13:55:16,0.437s,PASSED
"setText(findTestObject(""addUser/fax""), sample_phone_num)",Chrome 74.0.3729.169,,2019-06-07 13:55:16,2019-06-07 13:55:16,0.437s,PASSED
"setText(findTestObject(""addUser/email""), sample_email)",Chrome 74.0.3729.169,,2019-06-07 13:55:16,2019-06-07 13:55:17,1.039s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:17,2019-06-07 13:55:20,3.002s,PASSED
"click(findTestObject(""addUser/hiredate_calendar""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:20,2019-06-07 13:55:20,0.148s,PASSED
"click(findTestObject(""addUser/hiredate_calendar_today""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:20,2019-06-07 13:55:21,0.186s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:21,2019-06-07 13:55:24,3.003s,PASSED
"click(findTestObject(""addUser/language_primary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:24,0.098s,PASSED
"click(findTestObject(""addUser/language_primary_filipino""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:24,0.096s,PASSED
"click(findTestObject(""addUser/language_secondary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:24,0.084s,PASSED
"click(findTestObject(""addUser/language_secondary_english""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:24,0.098s,PASSED
"click(findTestObject(""addUser/language_other_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:24,0.092s,PASSED
"sendKeys(findTestObject(""addUser/language_other_korean""), Keys.chord(""Korean"", ENTER))",Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:24,0.260s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:24,2019-06-07 13:55:27,3.001s,PASSED
"click(findTestObject(""addUser/verbal_primary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:27,2019-06-07 13:55:27,0.095s,PASSED
"click(findTestObject(""addUser/verbal_primary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:27,2019-06-07 13:55:27,0.101s,PASSED
"click(findTestObject(""addUser/verbal_secondary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:27,2019-06-07 13:55:28,0.078s,PASSED
"click(findTestObject(""addUser/verbal_secondary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:28,2019-06-07 13:55:28,0.106s,PASSED
"click(findTestObject(""addUser/verbal_other_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:28,2019-06-07 13:55:28,0.130s,PASSED
"click(findTestObject(""addUser/verbal_other_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:28,2019-06-07 13:55:28,0.106s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-06-07 13:55:28,2019-06-07 13:55:30,2.003s,PASSED
"click(findTestObject(""addUser/reading_primary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.119s,PASSED
"click(findTestObject(""addUser/reading_primary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.101s,PASSED
"click(findTestObject(""addUser/reading_secondary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.081s,PASSED
"click(findTestObject(""addUser/reading_secondary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.107s,PASSED
"click(findTestObject(""addUser/reading_other_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.091s,PASSED
"click(findTestObject(""addUser/reading_other_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:30,0.109s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-06-07 13:55:30,2019-06-07 13:55:32,2.002s,PASSED
"click(findTestObject(""addUser/writing_primary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:32,2019-06-07 13:55:33,0.100s,PASSED
"click(findTestObject(""addUser/writing_primary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.099s,PASSED
"click(findTestObject(""addUser/writing_secondary_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.088s,PASSED
"click(findTestObject(""addUser/writing_secondary_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.096s,PASSED
"click(findTestObject(""addUser/writing_other_dropdown""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.075s,PASSED
"click(findTestObject(""addUser/writing_other_fluent""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:33,0.088s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-07 13:55:33,2019-06-07 13:55:38,5.001s,PASSED
"click(findTestObject(""addUser/professional_cred_tab""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:38,2019-06-07 13:55:38,0.002s,NOT_RUN
"click(findTestObject(""addUser/next_button""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-06-07 13:55:38,2019-06-07 13:55:38,0.156s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-06-07 13:55:38,2019-06-07 13:55:41,3.002s,PASSED
"setText(findTestObject(""addUser/professional_credentials/cred_profcert_idlicensecert""), ""1234344441"")",Chrome 74.0.3729.169,,2019-06-07 13:55:41,2019-06-07 13:55:42,0.523s,PASSED
