Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
completing_physician_order,Chrome 74.0.3729.169,,2019-05-28 14:42:11,2019-05-28 14:42:52,40.702s,PASSED
,,,,,,
Test Cases/Login_Accounts/login_superagent,Chrome 74.0.3729.169,,2019-05-28 14:42:11,2019-05-28 14:42:21,9.583s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-05-28 14:42:12,2019-05-28 14:42:15,3.467s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 74.0.3729.169,,2019-05-28 14:42:15,2019-05-28 14:42:17,2.482s,PASSED
"setText(findTestObject(""LogIn/username""), ""superagent"")",Chrome 74.0.3729.169,,2019-05-28 14:42:17,2019-05-28 14:42:18,0.130s,PASSED
"setEncryptedText(findTestObject(""LogIn/password""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 74.0.3729.169,,2019-05-28 14:42:18,2019-05-28 14:42:18,0.132s,PASSED
"click(findTestObject(""LogIn/login_button""))",Chrome 74.0.3729.169,,2019-05-28 14:42:18,2019-05-28 14:42:18,0.069s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-05-28 14:42:18,2019-05-28 14:42:21,3.018s,PASSED
,,,,,,
Test Cases/Completing_MD_Orders/navigatetoMDO,Chrome 74.0.3729.169,,2019-05-28 14:42:21,2019-05-28 14:42:28,6.825s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/D54CC206-ED8F-40D1-9D9D-2FB2F01411CE/0C87F119-5BDC-4D64-9196-15744946E006/overview"")",Chrome 74.0.3729.169,,2019-05-28 14:42:21,2019-05-28 14:42:22,0.550s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-05-28 14:42:22,2019-05-28 14:42:25,3.002s,PASSED
"click(findTestObject(""Patient_Care/tabs/md_orders_tab""))",Chrome 74.0.3729.169,,2019-05-28 14:42:25,2019-05-28 14:42:25,0.110s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-05-28 14:42:25,2019-05-28 14:42:28,3.003s,PASSED
,,,,,,
Test Cases/Completing_MD_Orders/physician_order,Chrome 74.0.3729.169,,2019-05-28 14:42:28,2019-05-28 14:42:51,23.149s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-05-28 14:42:28,2019-05-28 14:42:31,3.003s,PASSED
"click(findTestObject(""Patient_Care/md_orders/mdo_new_form""))",Chrome 74.0.3729.169,,2019-05-28 14:42:31,2019-05-28 14:42:31,0.208s,PASSED
delay(3),Chrome 74.0.3729.169,,2019-05-28 14:42:31,2019-05-28 14:42:34,3.004s,PASSED
"click(findTestObject(""Patient_Care/md_orders/mdo_new_physicianorder""))",Chrome 74.0.3729.169,,2019-05-28 14:42:34,2019-05-28 14:42:34,0.102s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-05-28 14:42:34,2019-05-28 14:42:39,5.010s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_orderdate_icon""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,"Completing a physician order
",2019-05-28 14:42:39,2019-05-28 14:42:39,0.167s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_orderdate_today""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:39,2019-05-28 14:42:40,0.154s,PASSED
"setText(findTestObject(""MD_Orders/physician_order/po_ordertime""), ""1200"")",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.172s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_sentdate_icon""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.107s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_sentdate_today""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.126s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_receiveddate_icon""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.105s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_receiveddate_today""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.148s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_subject_patientcondition""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.080s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_subject_medication""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.124s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_subject_visits""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.001s,NOT_RUN
"click(findTestObject(""MD_Orders/physician_order/po_subject_snevaluation""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:40,0.107s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_subject_lab""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:40,2019-05-28 14:42:41,0.082s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_subject_others""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:41,2019-05-28 14:42:41,0.088s,PASSED
"setText(findTestObject(""MD_Orders/physician_order/po_subject_otherstf""), ""Mental Health Therapy"")",Chrome 74.0.3729.169,,2019-05-28 14:42:41,2019-05-28 14:42:42,1.198s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_commtype_persontoperson""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:42,2019-05-28 14:42:42,0.080s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_commtype_phone""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:42,2019-05-28 14:42:42,0.080s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_commtype_fax""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:42,2019-05-28 14:42:42,0.080s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_commtype_mail""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:42,2019-05-28 14:42:42,0.079s,PASSED
"click(findTestObject(""MD_Orders/physician_order/po_mdordergiven_yes""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-28 14:42:42,2019-05-28 14:42:42,0.081s,PASSED
"setText(findTestObject(""MD_Orders/physician_order/po_commnote""), ""I am writing on behalf of my patient, (patient name) to document the medical necessity of"")",Chrome 74.0.3729.169,,2019-05-28 14:42:42,2019-05-28 14:42:43,1.112s,PASSED
