Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ADLs-IADLs,Chrome 73.0.3683.103,,2019-04-24 17:09:10,2019-04-24 17:10:17,1m - 7.238s,FAILED
,,,,,,
Test Cases/login,Chrome 73.0.3683.103,,2019-04-24 17:09:10,2019-04-24 17:09:28,17.934s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-24 17:09:11,2019-04-24 17:09:14,3.235s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 73.0.3683.103,,2019-04-24 17:09:14,2019-04-24 17:09:16,2.036s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 17:09:16,2019-04-24 17:09:19,3.016s,PASSED
"setText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Please try afterminutes.""), ""superagent"")",Chrome 73.0.3683.103,,2019-04-24 17:09:19,2019-04-24 17:09:19,0.125s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 17:09:19,2019-04-24 17:09:22,3.003s,PASSED
"setEncryptedText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtI8C4F8RIujvA=="")",Chrome 73.0.3683.103,,2019-04-24 17:09:22,2019-04-24 17:09:22,0.148s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 17:09:22,2019-04-24 17:09:25,3.003s,PASSED
"click(findTestObject(""Object Repository/addUser/Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-24 17:09:25,2019-04-24 17:09:25,0.082s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 17:09:25,2019-04-24 17:09:28,3.001s,PASSED
,,,,,,
Test Cases/navigate_patient_soc_ken,Chrome 73.0.3683.103,,2019-04-24 17:09:28,2019-04-24 17:09:36,7.283s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 17:09:28,2019-04-24 17:09:30,2.006s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-24 17:09:30,2019-04-24 17:09:31,0.805s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 17:09:31,2019-04-24 17:09:32,1.001s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/overview"")",Chrome 73.0.3683.103,,2019-04-24 17:09:32,2019-04-24 17:09:33,0.648s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 17:09:33,2019-04-24 17:09:34,1.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/2019/oasis/clinical/soc/9405B47D-64F0-4CF9-A5FA-25C79AC5A572/638B92A0-A489-410B-8056-906FE598F197"")",Chrome 73.0.3683.103,,2019-04-24 17:09:34,2019-04-24 17:09:35,0.633s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 17:09:35,2019-04-24 17:09:36,1.005s,PASSED
,,,,,,
Test Cases/OASIS_SOC/ADLs,Chrome 73.0.3683.103,,2019-04-24 17:09:36,2019-04-24 17:10:16,40.751s,FAILED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-24 17:09:36,2019-04-24 17:09:38,2.449s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/ADL_tab""))",Chrome 73.0.3683.103,,2019-04-24 17:09:38,2019-04-24 17:09:38,0.168s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-24 17:09:38,2019-04-24 17:09:43,5.004s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_muscle_strength_strong""))",Chrome 73.0.3683.103,,2019-04-24 17:09:43,2019-04-24 17:09:44,0.207s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_rom_limited""))",Chrome 73.0.3683.103,,2019-04-24 17:09:44,2019-04-24 17:09:44,0.271s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_lue""))",Chrome 73.0.3683.103,,2019-04-24 17:09:44,2019-04-24 17:09:44,0.134s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_rue""))",Chrome 73.0.3683.103,,2019-04-24 17:09:44,2019-04-24 17:09:44,0.148s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_lle""))",Chrome 73.0.3683.103,,2019-04-24 17:09:44,2019-04-24 17:09:44,0.156s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_rle""))",Chrome 73.0.3683.103,,2019-04-24 17:09:44,2019-04-24 17:09:44,0.171s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_bedmob_independent""))",Chrome 73.0.3683.103,,2019-04-24 17:09:44,2019-04-24 17:10:16,31.808s,FAILED
