Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ADLs-IADLs,Chrome 73.0.3683.103,,2019-04-25 10:41:58,2019-04-25 10:43:45,1m - 46.743s,PASSED
,,,,,,
Test Cases/navigate_patient_soc_ken,Chrome 73.0.3683.103,,2019-04-25 10:41:59,2019-04-25 10:42:14,15.202s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-25 10:41:59,2019-04-25 10:42:02,3.239s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 73.0.3683.103,,2019-04-25 10:42:02,2019-04-25 10:42:04,2.326s,PASSED
"setText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Please try afterminutes.""), ""kenkenrn"")",Chrome 73.0.3683.103,,2019-04-25 10:42:04,2019-04-25 10:42:05,0.123s,PASSED
"setEncryptedText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 73.0.3683.103,,2019-04-25 10:42:05,2019-04-25 10:42:05,0.142s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:05,2019-04-25 10:42:06,1.017s,PASSED
"click(findTestObject(""Object Repository/addUser/Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-25 10:42:06,2019-04-25 10:42:06,0.067s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-25 10:42:06,2019-04-25 10:42:09,3.001s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-25 10:42:09,2019-04-25 10:42:10,0.768s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:10,2019-04-25 10:42:11,1.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/overview"")",Chrome 73.0.3683.103,,2019-04-25 10:42:11,2019-04-25 10:42:11,0.597s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:11,2019-04-25 10:42:12,1.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/2019/oasis/clinical/soc/9405B47D-64F0-4CF9-A5FA-25C79AC5A572/638B92A0-A489-410B-8056-906FE598F197"")",Chrome 73.0.3683.103,,2019-04-25 10:42:12,2019-04-25 10:42:13,0.602s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:13,2019-04-25 10:42:14,1.002s,PASSED
,,,,,,
Test Cases/OASIS_SOC/ADLs,Chrome 73.0.3683.103,,2019-04-25 10:42:14,2019-04-25 10:43:44,1m - 30.581s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-25 10:42:14,2019-04-25 10:42:16,2.019s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/ADL_tab""))",Chrome 73.0.3683.103,,2019-04-25 10:42:16,2019-04-25 10:42:16,0.254s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-25 10:42:16,2019-04-25 10:42:21,5.003s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_muscle_strength_strong""))",Chrome 73.0.3683.103,,2019-04-25 10:42:21,2019-04-25 10:42:22,0.147s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_rom_limited""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:22,0.203s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_lue""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:22,0.133s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_rue""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:22,0.135s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_lle""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:22,0.134s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_loc_rle""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:22,0.128s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_bedmob_independent""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:22,0.142s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_transferab_moderate""))",Chrome 73.0.3683.103,,2019-04-25 10:42:22,2019-04-25 10:42:23,0.130s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_gait_steady""))",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:23,0.146s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_balance_fair""))",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:23,0.160s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_riskfalls_high""))",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:23,0.136s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_bk""))",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:23,0.144s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_ak""))",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:23,0.132s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_ue""))",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:23,0.125s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:23,2019-04-25 10:42:24,0.382s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_l""))",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:24,0.119s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_r""))",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:24,0.129s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_fracture_new""))",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:24,0.161s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_fracture_location""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:25,0.395s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_swelling""))",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:25,0.165s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_swelling_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:25,0.384s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pallor""))",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:25,0.130s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pallor_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:26,0.402s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pain""))",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:26,0.136s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pain_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:26,0.477s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_skintemp_warm""))",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:26,0.145s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_mobility_abletomove""))",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:27,0.125s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_mobility_abletomove_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:27,2019-04-25 10:42:27,0.428s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_capillary_more3sec""))",Chrome 73.0.3683.103,,2019-04-25 10:42:27,2019-04-25 10:42:27,0.124s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:27,2019-04-25 10:42:28,1.001s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_ambulation""))",Chrome 73.0.3683.103,,2019-04-25 10:42:28,2019-04-25 10:42:28,0.145s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_endurance""))",Chrome 73.0.3683.103,,2019-04-25 10:42:28,2019-04-25 10:42:28,0.132s,PASSED
