Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Cardiopulmonary,Chrome 73.0.3683.103,,2019-04-29 08:51:54,2019-04-29 08:52:15,20.528s,FAILED
,,,,,,
Test Cases/navigate_patient_soc_ken,Chrome 73.0.3683.103,,2019-04-29 08:51:54,2019-04-29 08:52:10,15.312s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-29 08:51:55,2019-04-29 08:51:58,3.258s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 73.0.3683.103,,2019-04-29 08:51:58,2019-04-29 08:52:00,2.231s,PASSED
"setText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Please try afterminutes.""), ""kenkenrn"")",Chrome 73.0.3683.103,,2019-04-29 08:52:00,2019-04-29 08:52:00,0.138s,PASSED
"setEncryptedText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 73.0.3683.103,,2019-04-29 08:52:00,2019-04-29 08:52:00,0.169s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-29 08:52:00,2019-04-29 08:52:02,1.021s,PASSED
"click(findTestObject(""Object Repository/addUser/Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-29 08:52:02,2019-04-29 08:52:02,0.101s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-29 08:52:02,2019-04-29 08:52:05,3.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-29 08:52:05,2019-04-29 08:52:05,0.644s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-29 08:52:05,2019-04-29 08:52:06,1.004s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/overview"")",Chrome 73.0.3683.103,,2019-04-29 08:52:06,2019-04-29 08:52:07,0.707s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-29 08:52:07,2019-04-29 08:52:08,1.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/2019/oasis/clinical/soc/9405B47D-64F0-4CF9-A5FA-25C79AC5A572/638B92A0-A489-410B-8056-906FE598F197"")",Chrome 73.0.3683.103,,2019-04-29 08:52:08,2019-04-29 08:52:09,0.709s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-29 08:52:09,2019-04-29 08:52:10,1.002s,PASSED
,,,,,,
Test Cases/OASIS_SOC/Cardiopulmonary,Chrome 73.0.3683.103,,2019-04-29 08:52:10,2019-04-29 08:52:14,4.166s,FAILED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-29 08:52:10,2019-04-29 08:52:13,2.628s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/Cardio_tab""))",Chrome 73.0.3683.103,,2019-04-29 08:52:13,2019-04-29 08:52:14,1.227s,FAILED
