Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Care Management,Chrome 73.0.3683.103,,2019-04-26 13:49:19,2019-04-26 13:50:57,1m - 38.430s,PASSED
,,,,,,
Test Cases/navigate_patient_soc_ken,Chrome 73.0.3683.103,,2019-04-26 13:49:19,2019-04-26 13:49:34,14.915s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-26 13:49:19,2019-04-26 13:49:22,3.058s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 73.0.3683.103,,2019-04-26 13:49:22,2019-04-26 13:49:25,2.181s,PASSED
"setText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Please try afterminutes.""), ""kenkenrn"")",Chrome 73.0.3683.103,,2019-04-26 13:49:25,2019-04-26 13:49:25,0.154s,PASSED
"setEncryptedText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 73.0.3683.103,,2019-04-26 13:49:25,2019-04-26 13:49:25,0.161s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 13:49:25,2019-04-26 13:49:26,1.022s,PASSED
"click(findTestObject(""Object Repository/addUser/Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-26 13:49:26,2019-04-26 13:49:26,0.084s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-26 13:49:26,2019-04-26 13:49:29,3.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-26 13:49:29,2019-04-26 13:49:30,0.748s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 13:49:30,2019-04-26 13:49:31,1.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/overview"")",Chrome 73.0.3683.103,,2019-04-26 13:49:31,2019-04-26 13:49:31,0.646s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 13:49:31,2019-04-26 13:49:32,1.004s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/2019/oasis/clinical/soc/9405B47D-64F0-4CF9-A5FA-25C79AC5A572/638B92A0-A489-410B-8056-906FE598F197"")",Chrome 73.0.3683.103,,2019-04-26 13:49:32,2019-04-26 13:49:33,0.546s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 13:49:33,2019-04-26 13:49:34,1.003s,PASSED
,,,,,,
Test Cases/OASIS_SOC/Care_Management,Chrome 73.0.3683.103,,2019-04-26 13:49:34,2019-04-26 13:50:57,1m - 22.515s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-26 13:49:34,2019-04-26 13:49:36,2.055s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/CareManagement_tab""))",Chrome 73.0.3683.103,,2019-04-26 13:49:36,2019-04-26 13:49:37,0.245s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-26 13:49:37,2019-04-26 13:49:40,3.001s,PASSED
"click(findTestObject(""OASIS/Care_Management/M2102_2""))",Chrome 73.0.3683.103,,2019-04-26 13:49:40,2019-04-26 13:49:40,0.607s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-26 13:49:40,2019-04-26 13:49:42,2.004s,PASSED
"setText(findTestObject(""OASIS/Care_Management/M2200_000""), ""000"")",Chrome 73.0.3683.103,,2019-04-26 13:49:42,2019-04-26 13:49:43,0.257s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-26 13:49:43,2019-04-26 13:49:45,2.003s,PASSED
"click(findTestObject(""OASIS/Care_Management/cm_physician_orders/pt/cm_po_pt_difficultyintransfers""))",Chrome 73.0.3683.103,,2019-04-26 13:49:45,2019-04-26 13:49:45,0.163s,PASSED
"click(findTestObject(""OASIS/Care_Management/cm_physician_orders/pt/cm_po_pt_pcg""))",Chrome 73.0.3683.103,,2019-04-26 13:49:45,2019-04-26 13:49:45,0.161s,PASSED
"click(findTestObject(""OASIS/Care_Management/cm_physician_orders/pt/cm_po_pt_difficultyinlower""))",Chrome 73.0.3683.103,,2019-04-26 13:49:45,2019-04-26 13:49:45,0.169s,PASSED
"click(findTestObject(""OASIS/Care_Management/cm_physician_orders/pt/cm_po_pt_knowledgedeficit""))",Chrome 73.0.3683.103,,2019-04-26 13:49:45,2019-04-26 13:49:45,0.149s,PASSED
"click(findTestObject(""OASIS/Care_Management/cm_physician_orders/pt/cm_po_pt_identifiedhighrisk""))",Chrome 73.0.3683.103,,2019-04-26 13:49:45,2019-04-26 13:49:45,0.182s,PASSED
"click(findTestObject(""OASIS/Care_Management/cm_physician_orders/pt/cm_po_pt_painofmuscle""))",Chrome 73.0.3683.103,,2019-04-26 13:49:45,2019-04-26 13:49:45,0.142s,PASSED
