Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Elimination,Chrome 73.0.3683.103,,2019-04-24 08:49:00,2019-04-24 08:49:40,39.406s,FAILED
,,,,,,
Test Cases/navigate_patient_soc,Chrome 73.0.3683.103,,2019-04-24 08:49:01,2019-04-24 08:49:23,22.628s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-24 08:49:01,2019-04-24 08:49:04,3.186s,PASSED
"navigateToUrl(""https://qa.medisource.com"")",Chrome 73.0.3683.103,,2019-04-24 08:49:04,2019-04-24 08:49:07,2.466s,PASSED
"setText(findTestObject(""Page_Medisource  Login/input_Please try afterminutes""), ""superagent"")",Chrome 73.0.3683.103,,2019-04-24 08:49:07,2019-04-24 08:49:08,1.637s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:08,2019-04-24 08:49:09,1.019s,PASSED
"setEncryptedText(findTestObject(""Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtI8C4F8RIujvA=="")",Chrome 73.0.3683.103,,2019-04-24 08:49:09,2019-04-24 08:49:09,0.172s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:09,2019-04-24 08:49:10,1.003s,PASSED
"click(findTestObject(""Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-24 08:49:10,2019-04-24 08:49:11,0.099s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 08:49:11,2019-04-24 08:49:13,2.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-24 08:49:13,2019-04-24 08:49:13,0.566s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 08:49:13,2019-04-24 08:49:16,3.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/overview"")",Chrome 73.0.3683.103,,2019-04-24 08:49:16,2019-04-24 08:49:17,0.566s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 08:49:17,2019-04-24 08:49:20,3.004s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/2019/oasis/clinical/soc/9405B47D-64F0-4CF9-A5FA-25C79AC5A572/638B92A0-A489-410B-8056-906FE598F197"")",Chrome 73.0.3683.103,,2019-04-24 08:49:20,2019-04-24 08:49:20,0.583s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 08:49:20,2019-04-24 08:49:23,3.002s,PASSED
,,,,,,
Test Cases/OASIS_SOC/Elimination,Chrome 73.0.3683.103,Created by: Khenard Figuracion,2019-04-24 08:49:23,2019-04-24 08:49:39,15.790s,FAILED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-24 08:49:23,2019-04-24 08:49:24,0.273s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:24,2019-04-24 08:49:25,1.003s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/Elimination_tab""))",Chrome 73.0.3683.103,,2019-04-24 08:49:25,2019-04-24 08:49:25,0.183s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:25,2019-04-24 08:49:26,1.003s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_incontinence""))",Chrome 73.0.3683.103,,2019-04-24 08:49:26,2019-04-24 08:49:29,2.741s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:29,2019-04-24 08:49:30,1.001s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_stress_incontinence""))",Chrome 73.0.3683.103,,2019-04-24 08:49:30,2019-04-24 08:49:30,0.121s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:30,2019-04-24 08:49:31,1.003s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_urgency""))",Chrome 73.0.3683.103,,2019-04-24 08:49:31,2019-04-24 08:49:31,0.115s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:31,2019-04-24 08:49:32,1.003s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_frequency""))",Chrome 73.0.3683.103,,2019-04-24 08:49:32,2019-04-24 08:49:32,0.093s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:32,2019-04-24 08:49:33,1.004s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_dysuria""))",Chrome 73.0.3683.103,,2019-04-24 08:49:33,2019-04-24 08:49:33,0.110s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:33,2019-04-24 08:49:34,1.003s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_retention""))",Chrome 73.0.3683.103,,2019-04-24 08:49:34,2019-04-24 08:49:34,0.108s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:34,2019-04-24 08:49:35,1.002s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_polyuria""))",Chrome 73.0.3683.103,,2019-04-24 08:49:35,2019-04-24 08:49:35,0.088s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:35,2019-04-24 08:49:36,1.003s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_nocturia""))",Chrome 73.0.3683.103,,2019-04-24 08:49:36,2019-04-24 08:49:36,0.104s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:36,2019-04-24 08:49:37,1.003s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_oliguria""))",Chrome 73.0.3683.103,,2019-04-24 08:49:37,2019-04-24 08:49:38,0.100s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-24 08:49:38,2019-04-24 08:49:39,1.002s,PASSED
"click(findTestObject(""OASIS/Elimination/genitourinary_status/elim_abnormal_status_hematuria""))",Chrome 73.0.3683.103,,2019-04-24 08:49:39,2019-04-24 08:49:39,0.503s,FAILED
