Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Medications,Chrome 73.0.3683.103,,2019-04-26 08:42:54,2019-04-26 08:43:26,31.710s,FAILED
,,,,,,
Test Cases/navigate_patient_soc_ken,Chrome 73.0.3683.103,,2019-04-26 08:42:54,2019-04-26 08:43:09,15.148s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-26 08:42:54,2019-04-26 08:42:58,3.387s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 73.0.3683.103,,2019-04-26 08:42:58,2019-04-26 08:43:00,1.991s,PASSED
"setText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Please try afterminutes.""), ""kenkenrn"")",Chrome 73.0.3683.103,,2019-04-26 08:43:00,2019-04-26 08:43:00,0.149s,PASSED
"setEncryptedText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 73.0.3683.103,,2019-04-26 08:43:00,2019-04-26 08:43:00,0.154s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:00,2019-04-26 08:43:01,1.017s,PASSED
"click(findTestObject(""Object Repository/addUser/Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-26 08:43:01,2019-04-26 08:43:01,0.080s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-26 08:43:01,2019-04-26 08:43:04,3.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-26 08:43:04,2019-04-26 08:43:05,0.722s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:05,2019-04-26 08:43:06,1.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/overview"")",Chrome 73.0.3683.103,,2019-04-26 08:43:06,2019-04-26 08:43:07,0.531s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:07,2019-04-26 08:43:08,1.001s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/638B92A0-A489-410B-8056-906FE598F197/9F6A772C-C308-499E-BA52-A7BF3652D416/2019/oasis/clinical/soc/9405B47D-64F0-4CF9-A5FA-25C79AC5A572/638B92A0-A489-410B-8056-906FE598F197"")",Chrome 73.0.3683.103,,2019-04-26 08:43:08,2019-04-26 08:43:08,0.688s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:08,2019-04-26 08:43:09,1.003s,PASSED
,,,,,,
Test Cases/OASIS_SOC/Medications,Chrome 73.0.3683.103,,2019-04-26 08:43:09,2019-04-26 08:43:25,15.543s,FAILED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-26 08:43:09,2019-04-26 08:43:11,1.711s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/Medications_tab""))",Chrome 73.0.3683.103,,2019-04-26 08:43:11,2019-04-26 08:43:11,0.303s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-26 08:43:11,2019-04-26 08:43:16,5.003s,PASSED
"click(findTestObject(""OASIS/Medications/M2001_1""))",Chrome 73.0.3683.103,,2019-04-26 08:43:16,2019-04-26 08:43:17,0.128s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:17,2019-04-26 08:43:18,1.004s,PASSED
"click(findTestObject(""OASIS/Medications/M2003_1""))",Chrome 73.0.3683.103,,2019-04-26 08:43:18,2019-04-26 08:43:18,0.164s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:18,2019-04-26 08:43:19,1.003s,PASSED
"click(findTestObject(""OASIS/Medications/M2010_1""))",Chrome 73.0.3683.103,,2019-04-26 08:43:19,2019-04-26 08:43:19,0.130s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:19,2019-04-26 08:43:20,1.002s,PASSED
"click(findTestObject(""OASIS/Medications/M2020_1""))",Chrome 73.0.3683.103,,2019-04-26 08:43:20,2019-04-26 08:43:20,0.165s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-26 08:43:20,2019-04-26 08:43:21,1.002s,PASSED
"click(findTestObject(""OASIS/Medications/M2030_1""))",Chrome 73.0.3683.103,,2019-04-26 08:43:21,2019-04-26 08:43:21,0.134s,PASSED
"click(findTestObject(""OASIS/Medications/med_venous_access""))",Chrome 73.0.3683.103,,2019-04-26 08:43:21,2019-04-26 08:43:21,0.154s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-26 08:43:21,2019-04-26 08:43:24,3.003s,PASSED
"click(findTestObject(""OASIS/Medications/med_va_purpose/med_va_purpose_antibiotic""))",Chrome 73.0.3683.103,,2019-04-26 08:43:24,2019-04-26 08:43:25,0.393s,FAILED
