Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IntaketoAdmit,Chrome 74.0.3729.157,,2019-05-17 10:30:17,2019-05-17 10:31:39,1m - 22.077s,PASSED
,,,,,,
Test Cases/Login_Accounts/login_superagent,Chrome 74.0.3729.157,,2019-05-17 10:30:17,2019-05-17 10:30:27,10.210s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,2019-05-17 10:30:17,2019-05-17 10:30:21,3.377s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 74.0.3729.157,,2019-05-17 10:30:21,2019-05-17 10:30:24,3.065s,PASSED
"setText(findTestObject(""LogIn/username""), ""superagent"")",Chrome 74.0.3729.157,,2019-05-17 10:30:24,2019-05-17 10:30:24,0.146s,PASSED
"setEncryptedText(findTestObject(""LogIn/password""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 74.0.3729.157,,2019-05-17 10:30:24,2019-05-17 10:30:24,0.163s,PASSED
"click(findTestObject(""LogIn/login_button""))",Chrome 74.0.3729.157,,2019-05-17 10:30:24,2019-05-17 10:30:24,0.083s,PASSED
delay(3),Chrome 74.0.3729.157,,2019-05-17 10:30:24,2019-05-17 10:30:27,3.017s,PASSED
,,,,,,
Test Cases/Patient_Workflow_Process/Pre-AdmitPatient,Chrome 74.0.3729.157,,2019-05-17 10:30:27,2019-05-17 10:31:22,54.619s,PASSED
delay(2),Chrome 74.0.3729.157,,2019-05-17 10:30:28,2019-05-17 10:30:30,2.004s,PASSED
"navigateToUrl(""https://qa.medisource.com/patient"")",Chrome 74.0.3729.157,Add Patient > Patient Pre-Admission page,2019-05-17 10:30:30,2019-05-17 10:30:31,0.842s,PASSED
today = new java.util.Date(),Chrome 74.0.3729.157,,2019-05-17 10:30:31,2019-05-17 10:30:31,0.006s,PASSED
"dtoday = today.format(""MM/dd/yyyy"")",Chrome 74.0.3729.157,,2019-05-17 10:30:31,2019-05-17 10:30:31,0.002s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_ref_date""), dtoday)",Chrome 74.0.3729.157,,2019-05-17 10:30:31,2019-05-17 10:30:34,3.045s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_MRN_auto-assign""))",Chrome 74.0.3729.157,,2019-05-17 10:30:34,2019-05-17 10:30:34,0.098s,PASSED
