Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IntaketoScheduleTask,Chrome 74.0.3729.131,,2019-05-10 10:34:46,2019-05-10 10:36:45,1m - 59.145s,PASSED
,,,,,,
Test Cases/Login_Accounts/login_superagent,Chrome 74.0.3729.131,,2019-05-10 10:34:46,2019-05-10 10:34:55,9.325s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-10 10:34:46,2019-05-10 10:34:49,3.091s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 74.0.3729.131,,2019-05-10 10:34:49,2019-05-10 10:34:52,2.552s,PASSED
"setText(findTestObject(""LogIn/username""), ""superagent"")",Chrome 74.0.3729.131,,2019-05-10 10:34:52,2019-05-10 10:34:52,0.141s,PASSED
"setEncryptedText(findTestObject(""LogIn/password""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 74.0.3729.131,,2019-05-10 10:34:52,2019-05-10 10:34:52,0.142s,PASSED
"click(findTestObject(""LogIn/login_button""))",Chrome 74.0.3729.131,,2019-05-10 10:34:52,2019-05-10 10:34:52,0.089s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-10 10:34:52,2019-05-10 10:34:55,3.018s,PASSED
,,,,,,
Test Cases/Patient_Workflow_Process/Pre-AdmitPatient,Chrome 74.0.3729.131,,2019-05-10 10:34:55,2019-05-10 10:35:52,57.154s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-10 10:34:56,2019-05-10 10:34:58,2.014s,PASSED
"navigateToUrl(""https://qa.medisource.com/patient"")",Chrome 74.0.3729.131,Add Patient > Patient Pre-Admission page,2019-05-10 10:34:58,2019-05-10 10:34:58,0.679s,PASSED
today = new java.util.Date(),Chrome 74.0.3729.131,,2019-05-10 10:34:58,2019-05-10 10:34:58,0.005s,PASSED
"dtoday = today.format(""MM/dd/yyyy"")",Chrome 74.0.3729.131,,2019-05-10 10:34:58,2019-05-10 10:34:58,0.002s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_ref_date""), dtoday)",Chrome 74.0.3729.131,,2019-05-10 10:34:58,2019-05-10 10:35:02,3.190s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_MRN_auto-assign""))",Chrome 74.0.3729.131,,2019-05-10 10:35:02,2019-05-10 10:35:02,0.104s,PASSED
"randomnum = today.format(""HHmmss"")",Chrome 74.0.3729.131,,2019-05-10 10:35:02,2019-05-10 10:35:02,0.000s,PASSED
"sn = ""123""",Chrome 74.0.3729.131,,2019-05-10 10:35:02,2019-05-10 10:35:02,0.000s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_admissiondate_sameas_btn""))",Chrome 74.0.3729.131,,2019-05-10 10:35:02,2019-05-10 10:35:02,0.107s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_lname""), ""Automated"")",Chrome 74.0.3729.131,,2019-05-10 10:35:02,2019-05-10 10:35:02,0.376s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_fname""), ""Patient - "" + randomnum)",Chrome 74.0.3729.131,,2019-05-10 10:35:02,2019-05-10 10:35:03,0.571s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_minitial""), ""I"")",Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:03,0.123s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_suffix""), ""III"")",Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:03,0.003s,NOT_RUN
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_bdate""), ""2071997"")",Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:03,0.240s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_gender_male""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:03,0.095s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_marital_select""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:03,0.088s,PASSED
"sendKeys(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_marital_status""), Keys.chord(""Single"", ENTER))",Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:03,0.254s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-10 10:35:03,2019-05-10 10:35:04,1.002s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_ethnicity""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-10 10:35:04,2019-05-10 10:35:05,0.187s,PASSED
"sendKeys(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_ethnicity""), Keys.chord(""White"", ENTER, ""Asian"", ENTER, ""Hispanic "", ENTER))",Chrome 74.0.3729.131,,2019-05-10 10:35:05,2019-05-10 10:35:07,2.605s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-10 10:35:07,2019-05-10 10:35:08,1.001s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_language_spoken""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-10 10:35:08,2019-05-10 10:35:08,0.167s,PASSED
"sendKeys(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_language_spoken""), Keys.chord(""Russian"", ENTER, ""Mandarin"", ENTER))",Chrome 74.0.3729.131,,2019-05-10 10:35:08,2019-05-10 10:35:09,0.864s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_info/p_info_ssn""), randomnum + sn)",Chrome 74.0.3729.131,,2019-05-10 10:35:09,2019-05-10 10:35:10,0.384s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-10 10:35:10,2019-05-10 10:35:12,2.003s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_address/p_address_address1""), ""10035 Jacks Rd, West Point, MS, 39773"")",Chrome 74.0.3729.131,,2019-05-10 10:35:12,2019-05-10 10:35:13,1.511s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_address/p_address_majorcrossstr""), ""10035 Jacks Rd"")",Chrome 74.0.3729.131,,2019-05-10 10:35:13,2019-05-10 10:35:14,0.678s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_patient_address/p_address_city""), ""West Point"")",Chrome 74.0.3729.131,,2019-05-10 10:35:14,2019-05-10 10:35:14,0.571s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_patient_address/p_address_state_tf""), STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-10 10:35:14,2019-05-10 10:35:15,0.126s,PASSED
