Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PreAdtoNonAdmit,Chrome 74.0.3729.131,,2019-05-10 17:03:44,2019-05-10 17:04:56,1m - 12.876s,PASSED
,,,,,,
Test Cases/Login_Accounts/login_superagent,Chrome 74.0.3729.131,,2019-05-10 17:03:44,2019-05-10 17:03:54,10.507s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-10 17:03:44,2019-05-10 17:03:48,3.511s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 74.0.3729.131,,2019-05-10 17:03:48,2019-05-10 17:03:51,3.257s,PASSED
"setText(findTestObject(""LogIn/username""), ""superagent"")",Chrome 74.0.3729.131,,2019-05-10 17:03:51,2019-05-10 17:03:51,0.182s,PASSED
"setEncryptedText(findTestObject(""LogIn/password""), ""SITHpLWAWtLnr/hOhnpplQ=="")",Chrome 74.0.3729.131,,2019-05-10 17:03:51,2019-05-10 17:03:51,0.135s,PASSED
"click(findTestObject(""LogIn/login_button""))",Chrome 74.0.3729.131,,2019-05-10 17:03:51,2019-05-10 17:03:51,0.071s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-10 17:03:51,2019-05-10 17:03:54,3.016s,PASSED
,,,,,,
Test Cases/Patient_Workflow_Process/Pre-AdmitPatient,Chrome 74.0.3729.131,,2019-05-10 17:03:54,2019-05-10 17:04:49,54.443s,PASSED
delay(2),Chrome 74.0.3729.131,,2019-05-10 17:03:55,2019-05-10 17:03:57,2.004s,PASSED
"navigateToUrl(""https://qa.medisource.com/patient"")",Chrome 74.0.3729.131,Add Patient > Patient Pre-Admission page,2019-05-10 17:03:57,2019-05-10 17:03:57,0.646s,PASSED
today = new java.util.Date(),Chrome 74.0.3729.131,,2019-05-10 17:03:57,2019-05-10 17:03:57,0.004s,PASSED
"dtoday = today.format(""MM/dd/yyyy"")",Chrome 74.0.3729.131,,2019-05-10 17:03:57,2019-05-10 17:03:57,0.003s,PASSED
"setText(findTestObject(""Patient_Pre-Admission/pre-ad_ref_date""), dtoday)",Chrome 74.0.3729.131,,2019-05-10 17:03:57,2019-05-10 17:04:01,3.186s,PASSED
"click(findTestObject(""Patient_Pre-Admission/pre-ad_MRN_auto-assign""))",Chrome 74.0.3729.131,,2019-05-10 17:04:01,2019-05-10 17:04:01,0.091s,PASSED
"randomnum = today.format(""HHmmss"")",Chrome 74.0.3729.131,,2019-05-10 17:04:01,2019-05-10 17:04:01,0.000s,PASSED
"sn = ""123""",Chrome 74.0.3729.131,,2019-05-10 17:04:01,2019-05-10 17:04:01,0.000s,PASSED
