Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
automation_compiled,Chrome 73.0.3683.103,,2019-04-30 11:20:58,2019-04-30 11:29:40,8m - 41.666s,FAILED
,,,,,,
Test Cases/OASIS_compilation,Chrome 73.0.3683.103,,2019-04-30 11:20:58,2019-04-30 11:21:16,17.762s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-30 11:20:58,2019-04-30 11:21:02,3.372s,PASSED
"navigateToUrl(""https://qa.medisource.com/login"")",Chrome 73.0.3683.103,,2019-04-30 11:21:02,2019-04-30 11:21:04,2.133s,PASSED
"setText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Please try afterminutes.""), ""superagent"")",Chrome 73.0.3683.103,,2019-04-30 11:21:04,2019-04-30 11:21:04,0.146s,PASSED
"setEncryptedText(findTestObject(""Object Repository/addUser/Page_Medisource  Login/input_Username or email requir""), ""SITHpLWAWtI8C4F8RIujvA=="")",Chrome 73.0.3683.103,,2019-04-30 11:21:04,2019-04-30 11:21:04,0.148s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 11:21:04,2019-04-30 11:21:05,1.021s,PASSED
"click(findTestObject(""Object Repository/addUser/Page_Medisource  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-30 11:21:05,2019-04-30 11:21:05,0.085s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-30 11:21:05,2019-04-30 11:21:08,3.002s,PASSED
"navigateToUrl(""https://qa.medisource.com/patients/all"")",Chrome 73.0.3683.103,,2019-04-30 11:21:08,2019-04-30 11:21:09,0.616s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 11:21:09,2019-04-30 11:21:10,1.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/7A8DDC98-19FC-470D-93B9-DEBD3B09D9F7/F813D137-B6FE-41FD-A8FC-04BE4CEF5E6B/overview"")",Chrome 73.0.3683.103,Select the patient: task tab link,2019-04-30 11:21:10,2019-04-30 11:21:11,0.675s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-30 11:21:11,2019-04-30 11:21:12,1.003s,PASSED
"navigateToUrl(""https://qa.medisource.com/patientcare/7A8DDC98-19FC-470D-93B9-DEBD3B09D9F7/F813D137-B6FE-41FD-A8FC-04BE4CEF5E6B/2019/oasis/clinical/soc/663D7785-5851-4882-B251-3BBEE917C2FE/7A8DDC98-19FC-470D-93B9-DEBD3B09D9F7"")",Chrome 73.0.3683.103,Patient OASIS link,2019-04-30 11:21:12,2019-04-30 11:21:12,0.793s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-30 11:21:12,2019-04-30 11:21:14,2.004s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/xitemedits_btn""))",Chrome 73.0.3683.103,,2019-04-30 11:21:14,2019-04-30 11:21:16,1.430s,PASSED
,,,,,,
Test Cases/OASIS_SOC/Cardiopulmonary,Chrome 73.0.3683.103,,2019-04-30 11:21:16,2019-04-30 11:21:17,1.175s,FAILED
"click(findTestObject(""OASIS/OASIS_TABS/Cardio_tab""))",Chrome 73.0.3683.103,,2019-04-30 11:21:16,2019-04-30 11:21:17,0.853s,FAILED
,,,,,,
Test Cases/OASIS_SOC/Nutritional,Chrome 73.0.3683.103,,2019-04-30 11:21:17,2019-04-30 11:22:05,47.723s,PASSED
"click(findTestObject(""OASIS/OASIS_TABS/Nutri_tab""))",Chrome 73.0.3683.103,,2019-04-30 11:21:17,2019-04-30 11:21:17,0.134s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-30 11:21:17,2019-04-30 11:21:22,5.003s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_withoutreasons""))",Chrome 73.0.3683.103,,2019-04-30 11:21:22,2019-04-30 11:21:23,0.126s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hasanillness""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.097s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hasanopen""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.105s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hasanopen_decubitus""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.089s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hasanopen_ulcer""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.105s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hasanopen_burn""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.090s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hasanopen_wound""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.089s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_eatsfewer""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.090s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_hastoothproblem""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.090s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_has3ormoredrinksbeer""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:23,0.101s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_doesnotalwaysmoney""))",Chrome 73.0.3683.103,,2019-04-30 11:21:23,2019-04-30 11:21:24,0.093s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_eatalone""))",Chrome 73.0.3683.103,,2019-04-30 11:21:24,2019-04-30 11:21:24,0.107s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_takes3ormoreotc""))",Chrome 73.0.3683.103,,2019-04-30 11:21:24,2019-04-30 11:21:24,0.075s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_isnotalwaysphysically""))",Chrome 73.0.3683.103,,2019-04-30 11:21:24,2019-04-30 11:21:24,0.083s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_health_screen/nutri_nhs_frequentlyhasdiarrhea""))",Chrome 73.0.3683.103,,2019-04-30 11:21:24,2019-04-30 11:21:24,0.103s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-30 11:21:24,2019-04-30 11:21:27,3.003s,PASSED
"click(findTestObject(""OASIS/Nutritional/nutri_upperGIstatus/nutri_ugis_abdomen_soft""))",Chrome 73.0.3683.103,,2019-04-30 11:21:27,2019-04-30 11:21:27,0.146s,PASSED
